+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
| 2014-02-23  | Central  | 11.364              |
| 2014-02-24  | West     | 55.672              |
| 2014-02-27  | East     | 19.456              |
| 2014-03-01  | Central  | 1739.6429999999998  |
| 2014-03-01  | West     | 457.568             |
| 2014-03-01  | East     | 5.94                |
| 2014-03-02  | East     | 202.384             |
| 2014-03-03  | West     | 626.352             |
| 2014-03-03  | East     | 523.312             |
| 2014-03-03  | Central  | 176.772             |
| 2014-03-03  | South    | 19.456              |
| 2014-03-04  | South    | 370.452             |
| 2014-03-05  | East     | 705.5619999999999   |
| 2014-03-07  | West     | 1561.062            |
| 2014-03-10  | West     | 719.576             |
| 2014-03-10  | Central  | 22.38               |
| 2014-03-11  | South    | 782.6300000000001   |
| 2014-03-11  | East     | 127.70400000000001  |
| 2014-03-11  | West     | 7.98                |
| 2014-03-14  | South    | 1230.976            |
| 2014-03-14  | Central  | 583.358             |
| 2014-03-14  | West     | 294.216             |
| 2014-03-15  | South    | 370.782             |
| 2014-03-16  | South    | 471.92              |
| 2014-03-17  | East     | 3581.754            |
| 2014-03-17  | Central  | 275.10400000000004  |
| 2014-03-17  | South    | 103.50000000000001  |
| 2014-03-18  | South    | 23661.228           |
| 2014-03-18  | West     | 4445.487999999999   |
| 2014-03-19  | South    | 590.7620000000001   |
| 2014-03-21  | South    | 4096.36             |
| 2014-03-21  | East     | 13.456              |
| 2014-03-22  | West     | 388.70399999999995  |
| 2014-03-22  | South    | 59.109              |
| 2014-03-22  | Central  | 16.28               |
| 2014-03-23  | West     | 935.1519999999999   |
| 2014-03-23  | South    | 9.912               |
| 2014-03-24  | West     | 40.48               |
| 2014-03-24  | East     | 24.9                |
| 2014-03-25  | East     | 366.786             |
| 2014-03-25  | West     | 92.36               |
| 2014-03-26  | West     | 145.13              |
| 2014-03-28  | Central  | 1190.84             |
| 2014-03-28  | East     | 330.588             |
| 2014-03-28  | West     | 302.376             |
| 2014-03-29  | Central  | 890.841             |
| 2014-03-30  | Central  | 844.2660000000001   |
| 2014-03-30  | West     | 265.906             |
| 2014-03-30  | East     | 60.15               |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-03-31  | South    | 1144.0339999999999  |
| 2014-03-31  | West     | 726.548             |
| 2014-03-31  | Central  | 88.118              |
| 2014-03-31  | East     | 0.852               |
| 2014-04-01  | East     | 73.19999999999999   |
| 2014-04-01  | West     | 46.688              |
| 2014-04-02  | South    | 1398.3500000000001  |
| 2014-04-02  | Central  | 60.208              |
| 2014-04-03  | West     | 233.45              |
| 2014-04-04  | South    | 364.93              |
| 2014-04-04  | Central  | 84.83               |
| 2014-04-04  | West     | 26.084              |
| 2014-04-05  | South    | 4367.28             |
| 2014-04-05  | Central  | 872.338             |
| 2014-04-05  | East     | 55.48               |
| 2014-04-06  | West     | 1323.928            |
| 2014-04-06  | East     | 326.762             |
| 2014-04-07  | South    | 1021.1700000000002  |
| 2014-04-08  | South    | 1215.92             |
| 2014-04-08  | West     | 570.72              |
| 2014-04-08  | East     | 172.11              |
| 2014-04-11  | Central  | 758.352             |
| 2014-04-11  | South    | 737.2               |
| 2014-04-11  | West     | 419.688             |
| 2014-04-12  | West     | 1879.723            |
| 2014-04-12  | Central  | 32.4                |
| 2014-04-13  | East     | 638.576             |
| 2014-04-15  | West     | 294.71999999999997  |
| 2014-04-16  | South    | 39.072              |
| 2014-04-18  | Central  | 697.074             |
| 2014-04-18  | West     | 323.458             |
| 2014-04-19  | South    | 129.32999999999998  |
| 2014-04-19  | West     | 76.14               |
| 2014-04-20  | Central  | 1190.53             |
| 2014-04-20  | West     | 59.92               |
| 2014-04-21  | South    | 828.84              |
| 2014-04-21  | West     | 16.52               |
| 2014-04-22  | East     | 257.752             |
| 2014-04-23  | East     | 595.0700000000002   |
| 2014-04-23  | West     | 48.91               |
| 2014-04-25  | West     | 2061.01             |
| 2014-04-25  | South    | 302.376             |
| 2014-04-25  | Central  | 16.608              |
| 2014-04-26  | West     | 282.56800000000004  |
| 2014-04-28  | West     | 1679.96             |
| 2014-04-28  | East     | 898.5160000000001   |
| 2014-04-29  | South    | 731.4039999999999   |
| 2014-04-29  | East     | 37.44               |
| 2014-04-30  | South    | 1048.74             |
| 2014-05-02  | South    | 479.984             |
| 2014-05-02  | East     | 26.136              |
| 2014-05-03  | East     | 51.072              |
| 2014-05-03  | Central  | 21.56               |
| 2014-05-04  | Central  | 90.112              |
| 2014-05-04  | West     | 69.86               |
| 2014-05-04  | East     | 27.46               |
| 2014-05-05  | Central  | 173.117             |
| 2014-05-05  | South    | 87.86               |
| 2014-05-06  | West     | 254.456             |
| 2014-05-07  | East     | 1091.35             |
| 2014-05-08  | East     | 1799.97             |
| 2014-05-09  | West     | 235.76999999999998  |
| 2014-05-09  | South    | 158.70999999999998  |
| 2014-05-10  | West     | 1971.5140000000001  |
| 2014-05-10  | East     | 372.28499999999997  |
| 2014-05-11  | Central  | 1606.892            |
| 2014-05-11  | East     | 35.91               |
| 2014-05-12  | East     | 700.056             |
| 2014-05-12  | Central  | 34.79               |
| 2014-05-13  | West     | 492.92600000000004  |
| 2014-05-13  | South    | 405.45599999999996  |
| 2014-05-14  | South    | 310.88              |
| 2014-05-16  | West     | 289.28              |
| 2014-05-17  | Central  | 91.68               |
| 2014-05-18  | East     | 944.964             |
| 2014-05-18  | Central  | 3.984               |
| 2014-05-19  | Central  | 57.42               |
| 2014-05-19  | South    | 34.2                |
| 2014-05-20  | East     | 211.66000000000003  |
| 2014-05-20  | Central  | 108.44399999999999  |
| 2014-05-21  | South    | 3333.8999999999996  |
| 2014-05-21  | East     | 711.6800000000001   |
| 2014-05-21  | Central  | 186.90800000000002  |
| 2014-05-21  | West     | 31.84               |
| 2014-05-22  | South    | 180.93              |
| 2014-05-23  | East     | 310.798             |
| 2014-05-23  | West     | 12.96               |
| 2014-05-24  | East     | 116.28              |
| 2014-05-25  | Central  | 104.91999999999999  |
| 2014-05-25  | East     | 14.62               |
| 2014-05-26  | West     | 849.93              |
| 2014-05-26  | Central  | 475.78799999999995  |
| 2014-05-27  | West     | 2139.9339999999997  |
| 2014-05-27  | Central  | 17.46               |
| 2014-05-28  | West     | 221.96800000000002  |
| 2014-05-30  | Central  | 1075.431            |
| 2014-05-30  | East     | 835.8620000000001   |
| 2014-05-30  | South    | 13.62               |
| 2014-05-31  | South    | 773.7               |
| 2014-06-01  | Central  | 3949.71             |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-06-01  | South    | 904.13              |
| 2014-06-01  | East     | 334.68              |
| 2014-06-02  | South    | 605.47              |
| 2014-06-02  | West     | 133.128             |
| 2014-06-03  | West     | 515.88              |
| 2014-06-03  | Central  | 225.456             |
| 2014-06-04  | East     | 456.272             |
| 2014-06-06  | East     | 1171.808            |
| 2014-06-06  | Central  | 138.812             |
| 2014-06-06  | South    | 63.381              |
| 2014-06-07  | Central  | 281.397             |
| 2014-06-08  | East     | 1745.3600000000001  |
| 2014-06-08  | West     | 585.552             |
| 2014-06-08  | South    | 170.352             |
| 2014-06-09  | West     | 3879.364            |
| 2014-06-09  | South    | 1441.3              |
| 2014-06-09  | Central  | 142.344             |
| 2014-06-10  | Central  | 491.55              |
| 2014-06-13  | West     | 14.52               |
| 2014-06-14  | Central  | 212.94              |
| 2014-06-15  | Central  | 942.9739999999999   |
| 2014-06-16  | Central  | 647.84              |
| 2014-06-16  | East     | 115.952             |
| 2014-06-17  | West     | 3290.516            |
| 2014-06-17  | East     | 65.97               |
| 2014-06-17  | Central  | 62.016              |
| 2014-06-18  | West     | 139.8               |
| 2014-06-20  | Central  | 1828.9496           |
| 2014-06-21  | East     | 3645.521            |
| 2014-06-21  | South    | 425.66999999999996  |
| 2014-06-21  | West     | 36.252              |
| 2014-06-22  | East     | 1106.77             |
| 2014-06-22  | Central  | 663.75              |
| 2014-06-22  | West     | 204.978             |
| 2014-06-23  | East     | 86.376              |
| 2014-06-23  | South    | 23.119999999999997  |
| 2014-06-24  | West     | 4.272               |
| 2014-06-25  | West     | 792.76              |
| 2014-06-27  | South    | 616.14              |
| 2014-06-28  | East     | 1639.711            |
| 2014-06-28  | Central  | 6.08                |
| 2014-06-29  | East     | 46.68               |
| 2014-06-30  | East     | 344.056             |
| 2014-06-30  | South    | 310.688             |
| 2014-06-30  | Central  | 52.480000000000004  |
| 2014-06-30  | West     | 32.4                |
| 2014-07-01  | South    | 581.1039999999999   |
| 2014-07-01  | West     | 19.92               |
| 2014-07-02  | East     | 79.56               |
| 2014-07-04  | West     | 209.96800000000002  |
| 2014-07-04  | South    | 37.44               |
| 2014-07-05  | South    | 760.9440000000001   |
| 2014-07-05  | Central  | 502.2               |
| 2014-07-05  | West     | 180.96              |
| 2014-07-06  | East     | 559.992             |
| 2014-07-06  | West     | 478.48              |
| 2014-07-07  | East     | 241.19400000000002  |
| 2014-07-08  | West     | 699.192             |
| 2014-07-08  | East     | 63.882              |
| 2014-07-09  | West     | 240.80100000000002  |
| 2014-07-09  | Central  | 24.72               |
| 2014-07-11  | East     | 1600.87             |
| 2014-07-11  | Central  | 586.336             |
| 2014-07-12  | West     | 1346.1499999999999  |
| 2014-07-12  | Central  | 613.8620000000001   |
| 2014-07-13  | West     | 351.216             |
| 2014-07-14  | East     | 168.47              |
| 2014-07-14  | Central  | 68.204              |
| 2014-07-14  | West     | 55.92               |
| 2014-07-15  | Central  | 9.51                |
| 2014-07-18  | West     | 259.136             |
| 2014-07-18  | East     | 13.904              |
| 2014-07-19  | East     | 455.23              |
| 2014-07-19  | West     | 6.096               |
| 2014-07-20  | Central  | 1340.9759999999999  |
| 2014-07-20  | West     | 891.4659999999999   |
| 2014-07-20  | East     | 53.344              |
| 2014-07-21  | West     | 1173.616            |
| 2014-07-21  | Central  | 787.866             |
| 2014-07-22  | West     | 1155.7720000000002  |
| 2014-07-22  | East     | 165.94              |
| 2014-07-22  | Central  | 26.632              |
| 2014-07-23  | West     | 2513.2039999999997  |
| 2014-07-23  | East     | 99.98               |
| 2014-07-25  | West     | 8341.289999999999   |
| 2014-07-26  | Central  | 2780.268            |
| 2014-07-26  | West     | 2003.246            |
| 2014-07-26  | South    | 256.47999999999996  |
| 2014-07-27  | West     | 514.28              |
| 2014-07-27  | East     | 65.78               |
| 2014-07-28  | South    | 193.152             |
| 2014-07-30  | West     | 1367.84             |
| 2014-08-01  | South    | 202.89600000000002  |
| 2014-08-01  | West     | 19.752              |
| 2014-08-01  | East     | 5.68                |
| 2014-08-02  | Central  | 886.28              |
| 2014-08-03  | West     | 314.374             |
| 2014-08-03  | East     | 163.62              |
| 2014-08-04  | West     | 2126.034            |
| 2014-08-04  | East     | 617.12              |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-08-05  | East     | 1369.33             |
| 2014-08-05  | West     | 550.164             |
| 2014-08-05  | Central  | 489.23              |
| 2014-08-06  | East     | 199.98              |
| 2014-08-06  | South    | 62.91               |
| 2014-08-08  | West     | 2690.4480000000003  |
| 2014-08-08  | Central  | 1109.725            |
| 2014-08-08  | South    | 155.456             |
| 2014-08-09  | West     | 3411.749            |
| 2014-08-09  | South    | 193.93599999999998  |
| 2014-08-11  | East     | 375.34              |
| 2014-08-11  | West     | 76.28               |
| 2014-08-12  | West     | 891.7760000000001   |
| 2014-08-12  | South    | 744.394             |
| 2014-08-12  | East     | 196.21              |
| 2014-08-15  | West     | 505.28200000000004  |
| 2014-08-15  | South    | 243.60000000000002  |
| 2014-08-15  | East     | 62.94               |
| 2014-08-15  | Central  | 30.96               |
| 2014-08-16  | East     | 853.092             |
| 2014-08-17  | South    | 484.78999999999996  |
| 2014-08-17  | Central  | 15.552              |
| 2014-08-19  | South    | 983.73              |
| 2014-08-19  | West     | 358.696             |
| 2014-08-19  | East     | 96.67999999999999   |
| 2014-08-20  | South    | 1417.35             |
| 2014-08-20  | Central  | 421.372             |
| 2014-08-22  | Central  | 11.56               |
| 2014-08-22  | South    | 7.632               |
| 2014-08-22  | East     | 3.912               |
| 2014-08-23  | West     | 473.94399999999996  |
| 2014-08-23  | East     | 71.84               |
| 2014-08-23  | Central  | 19.44               |
| 2014-08-24  | East     | 25.951999999999998  |
| 2014-08-24  | South    | 25.5                |
| 2014-08-24  | West     | 8.288               |
| 2014-08-25  | West     | 1184.0839999999998  |
| 2014-08-25  | East     | 229.50199999999998  |
| 2014-08-25  | Central  | 38.064              |
| 2014-08-26  | East     | 190.01              |
| 2014-08-26  | West     | 176.8               |
| 2014-08-27  | South    | 1825.3700000000001  |
| 2014-08-27  | West     | 244.76              |
| 2014-08-29  | South    | 709.0425            |
| 2014-08-29  | West     | 123.28              |
| 2014-08-30  | East     | 121.24              |
| 2014-08-31  | West     | 92.52               |
| 2014-09-01  | East     | 380.744             |
| 2014-09-01  | West     | 53.94               |
| 2014-09-01  | Central  | 34.752              |
| 2014-09-02  | South    | 1793.98             |
| 2014-09-02  | Central  | 1275.63             |
| 2014-09-02  | East     | 184.53999999999996  |
| 2014-09-03  | East     | 14.4                |
| 2014-09-03  | Central  | 7.68                |
| 2014-09-05  | East     | 264.32              |
| 2014-09-05  | South    | 31.984              |
| 2014-09-06  | West     | 100.36              |
| 2014-09-07  | Central  | 2474.991            |
| 2014-09-07  | East     | 917.0440000000001   |
| 2014-09-07  | West     | 131.84              |
| 2014-09-08  | Central  | 11757.796           |
| 2014-09-08  | West     | 1905.7479999999998  |
| 2014-09-08  | South    | 371.82              |
| 2014-09-08  | East     | 193.06400000000002  |
| 2014-09-09  | East     | 2629.1020000000003  |
| 2014-09-09  | South    | 1299.99             |
| 2014-09-09  | Central  | 114.496             |
| 2014-09-10  | West     | 1508.768            |
| 2014-09-10  | East     | 336.82              |
| 2014-09-10  | South    | 9.64                |
| 2014-09-11  | West     | 127.95              |
| 2014-09-12  | East     | 3919.206            |
| 2014-09-12  | Central  | 793.03              |
| 2014-09-12  | South    | 192.424             |
| 2014-09-13  | West     | 641.13              |
| 2014-09-13  | Central  | 340.116             |
| 2014-09-13  | East     | 275.514             |
| 2014-09-13  | South    | 18.648              |
| 2014-09-14  | East     | 4744.012            |
| 2014-09-14  | South    | 175.68800000000002  |
| 2014-09-14  | Central  | 104.01599999999999  |
| 2014-09-15  | East     | 133.436             |
| 2014-09-16  | East     | 33.552              |
| 2014-09-17  | West     | 762.023             |
| 2014-09-17  | South    | 52.608000000000004  |
| 2014-09-17  | East     | 5.892               |
| 2014-09-19  | Central  | 5579.9400000000005  |
| 2014-09-19  | South    | 2692.329            |
| 2014-09-19  | East     | 887.103             |
| 2014-09-19  | West     | 179.265             |
| 2014-09-20  | East     | 4106.51             |
| 2014-09-20  | Central  | 1122.25             |
| 2014-09-20  | West     | 104.392             |
| 2014-09-20  | South    | 2.816               |
| 2014-09-21  | West     | 2497.638            |
| 2014-09-21  | East     | 104.75999999999999  |
| 2014-09-21  | Central  | 77.254              |
| 2014-09-22  | East     | 693.992             |
| 2014-09-22  | Central  | 331.536             |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-09-22  | West     | 210.13              |
| 2014-09-22  | South    | 4.608               |
| 2014-09-23  | Central  | 9900.19             |
| 2014-09-23  | West     | 519.9830000000001   |
| 2014-09-23  | East     | 242.16400000000002  |
| 2014-09-24  | West     | 211.96              |
| 2014-09-25  | Central  | 340.3128            |
| 2014-09-25  | West     | 14.576              |
| 2014-09-26  | West     | 1060.68             |
| 2014-09-26  | East     | 265.234             |
| 2014-09-26  | Central  | 154.70000000000002  |
| 2014-09-27  | West     | 685.9               |
| 2014-09-27  | East     | 87.54               |
| 2014-09-28  | South    | 444.03200000000004  |
| 2014-09-28  | East     | 46.26               |
| 2014-09-29  | West     | 4141.0779999999995  |
| 2014-09-29  | East     | 3967.992            |
| 2014-09-30  | East     | 859.588             |
| 2014-09-30  | South    | 84.768              |
| 2014-09-30  | West     | 43.176              |
| 2014-10-01  | West     | 4.71                |
| 2014-10-02  | West     | 598.1439999999999   |
| 2014-10-03  | Central  | 316.187             |
| 2014-10-03  | West     | 265.784             |
| 2014-10-03  | East     | 212.952             |
| 2014-10-03  | South    | 67.75999999999999   |
| 2014-10-04  | East     | 589.41              |
| 2014-10-04  | West     | 139.338             |
| 2014-10-05  | West     | 99.98               |
| 2014-10-05  | East     | 91.92               |
| 2014-10-06  | Central  | 401.7               |
| 2014-10-06  | East     | 83.92               |
| 2014-10-06  | West     | 9.09                |
| 2014-10-07  | East     | 129.92              |
| 2014-10-07  | Central  | 107.44              |
| 2014-10-08  | East     | 123.92              |
| 2014-10-08  | South    | 23.472              |
| 2014-10-09  | West     | 160.59199999999998  |
| 2014-10-09  | South    | 88.768              |
| 2014-10-10  | Central  | 1488.774            |
| 2014-10-10  | West     | 440.35400000000004  |
| 2014-10-10  | East     | 120.258             |
| 2014-10-11  | West     | 881.5980000000001   |
| 2014-10-11  | East     | 483.336             |
| 2014-10-11  | South    | 16.23               |
| 2014-10-12  | West     | 36.29               |
| 2014-10-12  | Central  | 22.24               |
| 2014-10-13  | West     | 1549.77             |
| 2014-10-13  | South    | 389.74              |
| 2014-10-13  | East     | 272.672             |
| 2014-10-14  | Central  | 2347.394            |
| 2014-10-14  | East     | 2178.09             |
| 2014-10-15  | East     | 191.34              |
| 2014-10-15  | South    | 15.384              |
| 2014-10-16  | West     | 194.322             |
| 2014-10-17  | Central  | 136.068             |
| 2014-10-18  | South    | 2822.1400000000003  |
| 2014-10-18  | East     | 249.472             |
| 2014-10-18  | West     | 63.304              |
| 2014-10-19  | West     | 641.104             |
| 2014-10-20  | Central  | 1074.162            |
| 2014-10-20  | South    | 426.942             |
| 2014-10-21  | South    | 788.86              |
| 2014-10-21  | East     | 531.382             |
| 2014-10-21  | West     | 36.36               |
| 2014-10-22  | South    | 129.92              |
| 2014-10-22  | East     | 93.888              |
| 2014-10-24  | West     | 34.272              |
| 2014-10-24  | South    | 22.218              |
| 2014-10-25  | East     | 54.474000000000004  |
| 2014-10-25  | West     | 49.408              |
| 2014-10-26  | West     | 447.88              |
| 2014-10-27  | South    | 22.32               |
| 2014-10-28  | West     | 1252.602            |
| 2014-10-28  | Central  | 257.98              |
| 2014-10-29  | Central  | 2813.8120000000004  |
| 2014-10-31  | East     | 3538.17             |
| 2014-10-31  | West     | 1823.856            |
| 2014-11-01  | West     | 2692.84             |
| 2014-11-01  | South    | 1119.6000000000001  |
| 2014-11-01  | East     | 903.944             |
| 2014-11-01  | Central  | 15.696              |
| 2014-11-02  | South    | 799.92              |
| 2014-11-02  | East     | 733.638             |
| 2014-11-02  | West     | 504.03600000000006  |
| 2014-11-02  | Central  | 88.776              |
| 2014-11-03  | South    | 1543.0169999999998  |
| 2014-11-03  | East     | 1144.4560000000001  |
| 2014-11-03  | Central  | 89.97               |
| 2014-11-03  | West     | 6.72                |
| 2014-11-04  | East     | 4859.436            |
| 2014-11-04  | West     | 1767.6960000000001  |
| 2014-11-04  | South    | 66.616              |
| 2014-11-05  | East     | 1476.8339999999998  |
| 2014-11-05  | South    | 197.69              |
| 2014-11-05  | West     | 20.04               |
| 2014-11-06  | South    | 43.68               |
| 2014-11-07  | Central  | 1143.2100000000003  |
| 2014-11-07  | West     | 269.832             |
| 2014-11-07  | East     | 36.1                |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-11-08  | West     | 333.576             |
| 2014-11-09  | West     | 1517.574            |
| 2014-11-09  | East     | 56.52               |
| 2014-11-10  | Central  | 1194.87             |
| 2014-11-10  | West     | 807.686             |
| 2014-11-11  | West     | 4176.746            |
| 2014-11-11  | Central  | 3114.3039999999996  |
| 2014-11-11  | East     | 823.4979999999999   |
| 2014-11-12  | West     | 641.024             |
| 2014-11-12  | Central  | 405.86519999999996  |
| 2014-11-12  | South    | 7.872               |
| 2014-11-14  | East     | 957.3539999999999   |
| 2014-11-14  | Central  | 44.976              |
| 2014-11-14  | South    | 32.4                |
| 2014-11-15  | West     | 813.9900000000001   |
| 2014-11-15  | Central  | 604.656             |
| 2014-11-15  | South    | 362.176             |
| 2014-11-16  | West     | 736.0725            |
| 2014-11-16  | Central  | 619.856             |
| 2014-11-17  | East     | 9981.924            |
| 2014-11-17  | West     | 1075.3700000000001  |
| 2014-11-17  | Central  | 486.97999999999996  |
| 2014-11-18  | Central  | 1583.9420000000002  |
| 2014-11-18  | West     | 1071.508            |
| 2014-11-18  | East     | 751.405             |
| 2014-11-19  | East     | 5873.606000000001   |
| 2014-11-19  | South    | 682.91              |
| 2014-11-19  | Central  | 503.13              |
| 2014-11-19  | West     | 166.44              |
| 2014-11-20  | East     | 907.5600000000001   |
| 2014-11-21  | South    | 865.5               |
| 2014-11-21  | Central  | 269.592             |
| 2014-11-21  | West     | 114.53              |
| 2014-11-22  | South    | 1032.57             |
| 2014-11-22  | West     | 53.82               |
| 2014-11-22  | Central  | 16.908              |
| 2014-11-23  | West     | 1060.662            |
| 2014-11-23  | Central  | 239.81              |
| 2014-11-23  | East     | 62.808              |
| 2014-11-24  | East     | 3206.938            |
| 2014-11-24  | Central  | 1266.6100000000001  |
| 2014-11-24  | West     | 993.908             |
| 2014-11-24  | South    | 111.15              |
| 2014-11-25  | West     | 1695.24             |
| 2014-11-25  | East     | 1446.832            |
| 2014-11-25  | Central  | 1273.6229999999998  |
| 2014-11-26  | West     | 1272.06             |
| 2014-11-26  | East     | 414.63              |
| 2014-11-26  | Central  | 19.3                |
| 2014-11-27  | East     | 203.66              |
| 2014-11-28  | Central  | 1062.8700000000001  |
| 2014-11-28  | West     | 643.702             |
| 2014-11-28  | South    | 557.01              |
| 2014-11-28  | East     | 17.248              |
| 2014-11-29  | West     | 606.3199999999999   |
| 2014-11-29  | East     | 30.099999999999998  |
| 2014-11-29  | Central  | 12.624              |
| 2014-11-30  | West     | 150.232             |
| 2014-11-30  | East     | 62.28               |
| 2014-11-30  | South    | 6.642               |
| 2014-12-01  | Central  | 3528.538            |
| 2014-12-01  | East     | 1941.6840000000002  |
| 2014-12-01  | South    | 95.968              |
| 2014-12-01  | West     | 58.2                |
| 2014-12-02  | East     | 1633.4399999999998  |
| 2014-12-02  | Central  | 117.178             |
| 2014-12-02  | South    | 21.19               |
| 2014-12-03  | Central  | 505.88              |
| 2014-12-04  | East     | 129.98              |
| 2014-12-05  | West     | 1621.8319999999999  |
| 2014-12-05  | East     | 883.69              |
| 2014-12-05  | Central  | 433.56              |
| 2014-12-05  | South    | 24.56               |
| 2014-12-06  | West     | 1590.244            |
| 2014-12-06  | Central  | 338.526             |
| 2014-12-06  | South    | 42.208              |
| 2014-12-07  | West     | 442.88              |
| 2014-12-07  | South    | 105.52              |
| 2014-12-08  | West     | 1034.704            |
| 2014-12-08  | Central  | 60.416              |
| 2014-12-09  | East     | 1110.6480000000001  |
| 2014-12-09  | Central  | 276.61999999999995  |
| 2014-12-09  | West     | 135.384             |
| 2014-12-10  | West     | 455.632             |
| 2014-12-10  | East     | 117.704             |
| 2014-12-12  | West     | 4704.5405           |
| 2014-12-12  | Central  | 210.392             |
| 2014-12-12  | South    | 23.472              |
| 2014-12-13  | West     | 183.414             |
| 2014-12-13  | Central  | 97.348              |
| 2014-12-13  | South    | 12.39               |
| 2014-12-14  | East     | 7403.074            |
| 2014-12-14  | South    | 186.304             |
| 2014-12-14  | Central  | 52.28               |
| 2014-12-15  | Central  | 812.5039999999999   |
| 2014-12-15  | East     | 445.802             |
| 2014-12-15  | West     | 6.16                |
| 2014-12-16  | West     | 2712.116            |
| 2014-12-16  | South    | 1146.423            |
| 2014-12-16  | Central  | 535.648             |
+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-12-17  | South    | 40.05               |
| 2014-12-17  | East     | 5.484               |
| 2014-12-19  | South    | 2232.502            |
| 2014-12-19  | West     | 832.1379999999999   |
| 2014-12-19  | Central  | 372.12              |
| 2014-12-20  | South    | 3616.6820000000002  |
| 2014-12-20  | West     | 1770.1920000000005  |
| 2014-12-20  | Central  | 1192.5320000000002  |
| 2014-12-20  | East     | 383.034             |
| 2014-12-21  | West     | 1897.92             |
| 2014-12-21  | South    | 18.24               |
| 2014-12-21  | East     | 17.28               |
| 2014-12-22  | East     | 513.112             |
| 2014-12-22  | Central  | 274.096             |
| 2014-12-22  | West     | 11.76               |
| 2014-12-23  | South    | 619.8480000000001   |
| 2014-12-23  | Central  | 212.424             |
| 2014-12-23  | East     | 109.83600000000001  |
| 2014-12-24  | West     | 1910.274            |
| 2014-12-24  | East     | 30.36               |
| 2014-12-24  | South    | 9.568               |
| 2014-12-26  | West     | 870.662             |
| 2014-12-26  | Central  | 609.248             |
| 2014-12-26  | East     | 561.504             |
| 2014-12-27  | West     | 1308.79             |
| 2014-12-27  | East     | 1067.726            |
| 2014-12-27  | South    | 521.92              |
| 2014-12-27  | Central  | 67.952              |
| 2014-12-28  | East     | 2682.326            |
| 2014-12-28  | West     | 1049.97             |
| 2014-12-29  | West     | 1831.6639999999998  |
| 2014-12-29  | Central  | 192.07199999999997  |
| 2014-12-29  | East     | 48.36               |
| 2014-12-30  | East     | 962.084             |
| 2014-12-30  | Central  | 619.454             |
| 2014-12-30  | West     | 551.985             |
| 2014-12-30  | South    | 39.128              |
| 2014-12-31  | East     | 4650.548000000001   |
| 2014-12-31  | West     | 475.944             |
| 2014-12-31  | Central  | 126.778             |
